nom du vin;vintage;appelation;couleur;ID_wine;ID_Item;prix;occasion de degust;food_pairing;food_pairing_french;gws
Rouget;2010;Pomerol;Red;2049;2049-2010;38,28;diner, dejeuner, cadeau;Beef, Veal, Game (deer, venison), Poultry;Boeuf, Veau, Gibier (cerf, chevreuil), Poulet;89,91
Poujeaux;2006;Moulis en Medoc;Red;1993;1993-2006;38,5;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,54
Lynch Bages, Blanc;2014;Bordeaux;White;1840;1840-2014;38,6;Aperitif, diner, dejeuner, cadeau;Pork, Vegetarian, Poultry, Apertizers and snacks,  Lean fish;Porc, Vegetarien, Poulet, Amuse gueule et aperitifs,  Poisson maigre;89,75
Guiraud;2007;Sauternes;Sweet;1589;1589-2007;38,68;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;93,79
Grand Puy Lacoste;2004;Pauillac;Red;1346;1346-2004;38,76;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,05
Malartic Lagraviere;2013;Pessac Leognan;Red;1850;1850-2013;38,78;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,97
Beauregard;2011;Pomerol;Red;1206;1206-2011;39;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,55
Beauregard;2012;Pomerol;Red;1206;1206-2012;39;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,24
Branaire Ducru;2013;Saint Julien;Red;1788;1788-2013;39;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,65
Malartic Lagraviere;2015;Pessac Leognan;Red;1850;1850-2015;39,15;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,78
de Pez;2011;Saint Estephe;Red;1450;1450-2011;39,15;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,92
Dassault;2011;Saint Emilion;Red;1422;1422-2011;39,2;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,1
