nom du vin;vintage;appelation;couleur;ID_wine;ID_Item;prix;occasion de degust;food_pairing;food_pairing_french;gws
Gazin;1999;Pomerol;Red;1554;1554-1999;65,29;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;86,89
Haut Marbuzet;1990;Saint Estephe;Red;1614;1614-1990;65,6;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,69
La Tour Blanche;1990;Sauternes;Sweet;1733;1733-1990;66,82;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;88,82
Branaire Ducru;2010;Saint Julien;Red;1788;1788-2010;66,97;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,79
Cantemerle;1989;Haut Medoc;Red;1252;1252-1989;67,3;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,36
Sociando Mallet;1995;Haut Medoc;Red;2085;2085-1995;67,44;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,82
Grand Puy Lacoste;1988;Pauillac;Red;1346;1346-1988;67,84;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,1
Bastor Lamontagne;1988;Sauternes;Sweet;1197;1197-1988;67,87;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;83,1
Clerc Milon;2004;Pauillac;Red;1253;1253-2004;67,94;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,44
Pensees de Lafleur;2008;Pomerol;Red;1956;1956-2008;67,95;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,53
Grand Puy Lacoste;1999;Pauillac;Red;1346;1346-1999;68,62;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,88
Pichon Baron;1997;Pauillac;Red;1596;1596-1997;68,91;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,06
de Fargues;2006;Sauternes;Sweet;1433;1433-2006;68,93;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;92,9
Cantemerle;1996;Haut Medoc;Red;1252;1252-1996;69;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;86,72
Le Gay;2007;Pomerol;Red;1800;1800-2007;69;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,54
Nenin;2010;Pomerol;Red;1915;1915-2010;69;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,74
Beau Sejour Becot;1995;Saint Emilion;Red;1202;1202-1995;69;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;85,53
Domaine de Chevalier;2009;Pessac Leognan;Red;1471;1471-2009;69,02;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;95,03
de Fargues;2004;Sauternes;Sweet;1433;1433-2004;69,06;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;89,05
Climens;2008;Sauternes;Sweet;1347;1347-2008;69,2;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;93,52
Clinet;1996;Pomerol;Red;1348;1348-1996;69,68;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,64
La Providence;2011;Pomerol;Red;1723;1723-2011;70,29;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,37
Haut Marbuzet;2005;Saint Estephe;Red;1614;1614-2005;70,29;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,2
Clos Fourtet;2013;Saint Emilion;Red;1370;1370-2013;70,38;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,17
Quinault l'Enclos;1998;Saint Emilion;Red;2008;2008-1998;71;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,54
Haut Bages Liberal;1995;Pauillac;Red;1391;1391-1995;71,08;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,27
Climens;2006;Sauternes;Sweet;1347;1347-2006;71,16;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;93,69
Saint Pierre;2005;Saint Julien;Red;1858;1858-2005;71,17;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,29
Dassault;1982;Saint Emilion;Red;1422;1422-1982;71,28;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,69
Clerc Milon;2001;Pauillac;Red;1253;1253-2001;71,78;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,23
Cos d'Estournel, Blanc;2014;Bordeaux;White;1392;1392-2014;71,92;Aperitif, diner, dejeuner, cadeau;Pork, Vegetarian, Poultry, Apertizers and snacks,  Lean fish;Porc, Vegetarien, Poulet, Amuse gueule et aperitifs,  Poisson maigre;91,94
Dassault;2003;Saint Emilion;Red;1422;1422-2003;72;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,22
de Fargues;2002;Sauternes;Sweet;1433;1433-2002;72;diner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;92,35
carillon de l'angelus;2011;Saint Emilion;Red;1296;1296-2011;72,1;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,58
Clos Fourtet;2008;Saint Emilion;Red;1370;1370-2008;72,35;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,47
Alter Ego de Palmer;2009;Margaux;Red;1167;1167-2009;72,43;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,36
de Fargues;2001;Sauternes;Sweet;1433;1433-2001;72,5;diner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;96,85
Pensees de Lafleur;2007;Pomerol;Red;1956;1956-2007;72,62;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;86,67
Beau Sejour Becot;1997;Saint Emilion;Red;1202;1202-1997;72,67;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,94
carillon de l'angelus;2012;Saint Emilion;Red;1296;1296-2012;73,03;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,97
Pensees de Lafleur;2002;Pomerol;Red;1956;1956-2002;73,5;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,19
Pontet Canet;2001;Pauillac;Red;1491;1491-2001;73,5;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,23
Climens;2007;Sauternes;Sweet;1347;1347-2007;73,68;diner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;96,41
Le Gay;2008;Pomerol;Red;1800;1800-2008;74,65;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,42
Cos d'Estournel;1981;Saint Estephe;Red;1497;1497-1981;74,97;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;84,31
Dassault;1995;Saint Emilion;Red;1422;1422-1995;75;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;85,56
Saint Pierre;2010;Saint Julien;Red;1858;1858-2010;75,29;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,06
Clos Fourtet;2004;Saint Emilion;Red;1370;1370-2004;75,6;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,12
Pavie Decesse;1999;Saint Emilion;Red;1944;1944-1999;75,7;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,16
La Lagune;2008;Haut Medoc;Red;1992;1992-2008;76;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,54
Sociando Mallet;1998;Haut Medoc;Red;2085;2085-1998;76,22;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,48
La Providence;2010;Pomerol;Red;1723;1723-2010;76,51;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,91
Grand Puy Lacoste;1983;Pauillac;Red;1346;1346-1983;76,89;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;85,4
Pavie Decesse;2004;Saint Emilion;Red;1944;1944-2004;77,18;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,79
Nenin;2000;Pomerol;Red;1915;1915-2000;78,12;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,55
Clos Fourtet;2015;Saint Emilion;Red;1370;1370-2015;78,45;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;95,58
les Carmes Haut Brion;2008;Pessac Leognan;Red;1816;1816-2008;79;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,32
Beau Sejour Becot;2005;Saint Emilion;Red;1202;1202-2005;79,4;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,87
Sociando Mallet;1994;Haut Medoc;Red;2085;2085-1994;80;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,73
Nenin;2006;Pomerol;Red;1915;1915-2006;80;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,59
Lynch Bages;1993;Pauillac;Red;1408;1408-1993;80,39;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,89
Meyney;1982;Saint Estephe;Red;1874;1874-1982;80,39;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,83
Climens;2000;Sauternes;Sweet;1347;1347-2000;80,75;diner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;89,03
Chasse Spleen;1995;Moulis en Medoc;Red;1321;1321-1995;80,75;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;86,45
Saint Pierre;2009;Saint Julien;Red;1858;1858-2009;80,77;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,94
Climens;1983;Sauternes;Sweet;1347;1347-1983;81,21;diner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;93,8
Larcis Ducasse;2010;Saint Emilion;Red;1779;1779-2010;81,41;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,09
Malartic Lagraviere;1988;Pessac Leognan;Red;1850;1850-1988;81,65;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;80,27
Grand Puy Lacoste;2002;Pauillac;Red;1346;1346-2002;82;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,72
Dassault;2001;Saint Emilion;Red;1422;1422-2001;82;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,56
Pensees de Lafleur;2004;Pomerol;Red;1956;1956-2004;82,5;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,19
Climens;2009;Sauternes;Sweet;1347;1347-2009;83,21;diner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;97,52
Clinet;1994;Pomerol;Red;1348;1348-1994;83,25;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,84
Clos Fourtet;2003;Saint Emilion;Red;1370;1370-2003;83,26;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,49
Chapelle de La Mission Haut Brion;2009;Pessac Leognan;Red;1312;1312-2009;83,61;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,33
Clarence de Haut Brion;2004;Pessac Leognan;Red;1336;1336-2004;83,94;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;68,34
Haut Marbuzet;1989;Saint Estephe;Red;1614;1614-1989;83,94;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,25
Clarence de Haut Brion;2012;Pessac Leognan;Red;1336;1336-2012;84,06;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,76
Rocheyron;2011;Saint Emilion;Red;4965;4965-2011;84,33;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,33
La Gomerie;1999;Saint Emilion;Red;1701;1701-1999;85;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;85,78
Canon La Gaffeliere;2000;Saint Emilion;Red;1280;1280-2000;85,03;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,32
Clos Fourtet;2012;Saint Emilion;Red;1370;1370-2012;85,54;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,99
Gazin;2005;Pomerol;Red;1554;1554-2005;85,72;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,15
Gazin;2005;Pomerol;Red;1554;1554-2005;85,72;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,15
Climens;2010;Sauternes;Sweet;1347;1347-2010;85,78;diner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;96,37
Branaire Ducru;1985;Saint Julien;Red;1788;1788-1985;86,13;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;86,27
carillon de l'angelus;2010;Saint Emilion;Red;1296;1296-2010;87,45;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,19
La Lagune;2000;Haut Medoc;Red;1992;1992-2000;88;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,05
Bastor Lamontagne;1990;Sauternes;Sweet;1197;1197-1990;88,28;diner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;92,12
Haut Marbuzet;1983;Saint Estephe;Red;1614;1614-1983;88,6;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,22
Climens;2005;Sauternes;Sweet;1347;1347-2005;88,83;diner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;95,69
Chasse Spleen;1996;Moulis en Medoc;Red;1321;1321-1996;88,83;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;85,15
Sociando Mallet;2002;Haut Medoc;Red;2085;2085-2002;89;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,68
Dassault;2005;Saint Emilion;Red;1422;1422-2005;89;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,22
Bastor Lamontagne;1989;Sauternes;Sweet;1197;1197-1989;89;diner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;85,88
de Fargues;2011;Sauternes;Sweet;1433;1433-2011;89,86;diner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;94,83
Grand Puy Lacoste;1995;Pauillac;Red;1346;1346-1995;90,31;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,99
Pontet Canet;1996;Pauillac;Red;1491;1491-1996;90,92;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,84
Rieussec;1990;Sauternes;Sweet;2030;2030-1990;91,87;diner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;94,52
Dassault;1998;Saint Emilion;Red;1422;1422-1998;92;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,41
La Violette;2005;Pomerol;Red;1745;1745-2005;92,12;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;86,02
Haut Marbuzet;1985;Saint Estephe;Red;1614;1614-1985;93,27;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,21
Vieux Chateau Certan;1996;Pomerol;Red;2141;2141-1996;93,8;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,2
Gazin;2010;Pomerol;Red;1554;1554-2010;94,51;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,67
Gazin;2010;Pomerol;Red;1554;1554-2010;94,51;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,67
Gazin;2010;Pomerol;Red;1554;1554-2010;94,51;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,67
Pontet Canet;1995;Pauillac;Red;1491;1491-1995;94,68;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,66
Clinet;2003;Pomerol;Red;1348;1348-2003;95;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,87
Vieux Chateau Certan;2004;Pomerol;Red;2141;2141-2004;95,7;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,69
Clerc Milon;2005;Pauillac;Red;1253;1253-2005;96,47;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,54
de Fargues;2005;Sauternes;Sweet;1433;1433-2005;96,73;diner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;93,62
Valandraud;2012;Saint Emilion;Red;2133;2133-2012;96,76;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,68
Gazin;2009;Pomerol;Red;1554;1554-2009;97,19;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,91
Gazin;2009;Pomerol;Red;1554;1554-2009;97,19;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,91
Le Gay;2001;Pomerol;Red;1800;1800-2001;97,2;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,24
Nenin;1997;Pomerol;Red;1915;1915-1997;98;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,42
Malartic Lagraviere;1986;Pessac Leognan;Red;1850;1850-1986;98,48;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;85,84
Beauregard;2001;Pomerol;Red;1206;1206-2001;99;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,37
Dassault;1989;Saint Emilion;Red;1422;1422-1989;99;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;84
Dassault;2000;Saint Emilion;Red;1422;1422-2000;99;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,22
Pavie Decesse;1998;Saint Emilion;Red;1944;1944-1998;99,5;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,25
Clos Fourtet;2011;Saint Emilion;Red;1370;1370-2011;100;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,48
Clinet;2010;Pomerol;Red;1348;1348-2010;100,92;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,57
Le Gay;2011;Pomerol;Red;1800;1800-2011;100,92;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,8
Vieux Chateau Certan;2008;Pomerol;Red;2141;2141-2008;101,13;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;94,24
Guiraud;1990;Sauternes;Sweet;1589;1589-1990;101,18;diner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;92,28
Clinet;2008;Pomerol;Red;1348;1348-2008;101,51;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,18
Clos Saint Martin;2000;Saint Emilion;Red;1384;1384-2000;102,5;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;92,82
Pensees de Lafleur;1995;Pomerol;Red;1956;1956-1995;103,36;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;94,38
Clarence de Haut Brion;2011;Pessac Leognan;Red;1336;1336-2011;103,53;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,44
Pavie Decesse;2000;Saint Emilion;Red;1944;1944-2000;103,8;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;86,12
Clarence de Haut Brion;2006;Pessac Leognan;Red;1336;1336-2006;104,03;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,61
Climens;1996;Sauternes;Sweet;1347;1347-1996;104,36;diner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;92,01
Clerc Milon;2006;Pauillac;Red;1253;1253-2006;105;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,02
de Fargues;2008;Sauternes;Sweet;1433;1433-2008;105;diner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;93,49
Valandraud;2003;Saint Emilion;Red;2133;2133-2003;105,28;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;93,33
de Fargues;2007;Sauternes;Sweet;1433;1433-2007;107,11;diner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;93,58
Vieux Chateau Certan;2013;Pomerol;Red;2141;2141-2013;107,75;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,04
Phelan Segur;1990;Saint Estephe;Red;1973;1973-1990;108;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,85
de Fargues;1985;Sauternes;Sweet;1433;1433-1985;108,66;diner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;89,67
Clarence de Haut Brion;2007;Pessac Leognan;Red;1336;1336-2007;110;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,03
La Gomerie;2001;Saint Emilion;Red;1701;1701-2001;110;diner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,61
